Price_Month,Model,Benchmark_MSRP_USD,Model_Price_Min_USD,Model_Price_Max_USD,Price_Variation_Factor,Price_Source
2020-03-01,1 Series,36054.83,33891.54,40381.41,1.04507,BMW official MSRP anchors + simulated monthly market variation
2020-04-01,1 Series,36487.73,34298.47,40866.26,1.05762,BMW official MSRP anchors + simulated monthly market variation
2020-05-01,1 Series,36313.94,34135.11,40671.61,1.05258,BMW official MSRP anchors + simulated monthly market variation
2020-06-01,1 Series,36826.24,34616.66,41245.38,1.06743,BMW official MSRP anchors + simulated monthly market variation
2020-07-01,1 Series,36128.33,33960.63,40463.73,1.0472,BMW official MSRP anchors + simulated monthly market variation
2020-08-01,1 Series,36538.75,34346.43,40923.4,1.05909,BMW official MSRP anchors + simulated monthly market variation
2020-09-01,1 Series,36086.31,33921.14,40416.67,1.04598,BMW official MSRP anchors + simulated monthly market variation
2020-10-01,1 Series,36478.11,34289.42,40855.48,1.05734,BMW official MSRP anchors + simulated monthly market variation
2020-11-01,1 Series,36314.66,34135.78,40672.42,1.0526,BMW official MSRP anchors + simulated monthly market variation
2020-12-01,1 Series,36244.82,34070.13,40594.19,1.05057,BMW official MSRP anchors + simulated monthly market variation
2021-01-01,1 Series,39344.54,36983.87,44065.89,1.10055,BMW official MSRP anchors + simulated monthly market variation
2021-02-01,1 Series,39269.26,36913.1,43981.57,1.09844,BMW official MSRP anchors + simulated monthly market variation
2021-03-01,1 Series,38813.57,36484.76,43471.2,1.08569,BMW official MSRP anchors + simulated monthly market variation
2021-04-01,1 Series,38976.47,36637.89,43653.65,1.09025,BMW official MSRP anchors + simulated monthly market variation
2021-05-01,1 Series,38609.56,36292.99,43242.71,1.07999,BMW official MSRP anchors + simulated monthly market variation
2021-06-01,1 Series,38606.61,36290.21,43239.4,1.07991,BMW official MSRP anchors + simulated monthly market variation
2021-07-01,1 Series,38731.63,36407.74,43379.43,1.0834,BMW official MSRP anchors + simulated monthly market variation
2021-08-01,1 Series,38548.09,36235.2,43173.86,1.07827,BMW official MSRP anchors + simulated monthly market variation
2021-09-01,1 Series,38894.86,36561.16,43562.24,1.08797,BMW official MSRP anchors + simulated monthly market variation
2021-10-01,1 Series,39217.06,36864.04,43923.11,1.09698,BMW official MSRP anchors + simulated monthly market variation
2021-11-01,1 Series,38826.48,36496.89,43485.65,1.08606,BMW official MSRP anchors + simulated monthly market variation
2021-12-01,1 Series,38796.4,36468.62,43451.97,1.08521,BMW official MSRP anchors + simulated monthly market variation
2022-01-01,1 Series,40216.05,37803.09,45041.98,1.08692,BMW official MSRP anchors + simulated monthly market variation
2022-02-01,1 Series,39824.37,37434.91,44603.29,1.07633,BMW official MSRP anchors + simulated monthly market variation
2022-03-01,1 Series,39944.3,37547.64,44737.62,1.07958,BMW official MSRP anchors + simulated monthly market variation
2022-04-01,1 Series,39884.83,37491.74,44671.01,1.07797,BMW official MSRP anchors + simulated monthly market variation
2022-05-01,1 Series,39687.91,37306.64,44450.46,1.07265,BMW official MSRP anchors + simulated monthly market variation
2022-06-01,1 Series,39697.12,37315.29,44460.77,1.0729,BMW official MSRP anchors + simulated monthly market variation
2022-07-01,1 Series,40175.46,37764.93,44996.51,1.08582,BMW official MSRP anchors + simulated monthly market variation
2022-08-01,1 Series,40154.79,37745.51,44973.37,1.08526,BMW official MSRP anchors + simulated monthly market variation
2022-09-01,1 Series,40070.42,37666.2,44878.87,1.08298,BMW official MSRP anchors + simulated monthly market variation
2022-10-01,1 Series,40013.26,37612.46,44814.85,1.08144,BMW official MSRP anchors + simulated monthly market variation
2022-11-01,1 Series,40541.91,38109.39,45406.94,1.09573,BMW official MSRP anchors + simulated monthly market variation
2022-12-01,1 Series,39075.97,36731.42,43765.09,1.05611,BMW official MSRP anchors + simulated monthly market variation
2023-01-01,1 Series,41017.69,38556.63,45939.81,1.07236,BMW official MSRP anchors + simulated monthly market variation
2023-02-01,1 Series,40884.5,38431.43,45790.64,1.06888,BMW official MSRP anchors + simulated monthly market variation
2023-03-01,1 Series,40686.68,38245.48,45569.09,1.0637,BMW official MSRP anchors + simulated monthly market variation
2023-04-01,1 Series,40839.54,38389.17,45740.29,1.0677,BMW official MSRP anchors + simulated monthly market variation
2023-05-01,1 Series,39970.02,37571.82,44766.42,1.04497,BMW official MSRP anchors + simulated monthly market variation
2023-06-01,1 Series,40953.12,38495.93,45867.49,1.07067,BMW official MSRP anchors + simulated monthly market variation
2023-07-01,1 Series,40684.44,38243.38,45566.58,1.06365,BMW official MSRP anchors + simulated monthly market variation
2023-08-01,1 Series,40859.74,38408.16,45762.91,1.06823,BMW official MSRP anchors + simulated monthly market variation
2023-09-01,1 Series,40829.57,38379.8,45729.12,1.06744,BMW official MSRP anchors + simulated monthly market variation
2023-10-01,1 Series,40322.24,37902.91,45160.91,1.05418,BMW official MSRP anchors + simulated monthly market variation
2023-11-01,1 Series,40687.3,38246.06,45569.78,1.06372,BMW official MSRP anchors + simulated monthly market variation
2023-12-01,1 Series,40575.0,38140.5,45444.0,1.06078,BMW official MSRP anchors + simulated monthly market variation
2024-01-01,1 Series,41668.77,39168.64,46669.02,1.05491,BMW official MSRP anchors + simulated monthly market variation
2024-02-01,1 Series,42733.02,40169.04,47860.99,1.08185,BMW official MSRP anchors + simulated monthly market variation
2024-03-01,1 Series,42182.69,39651.73,47244.62,1.06792,BMW official MSRP anchors + simulated monthly market variation
2024-04-01,1 Series,42339.17,39798.82,47419.87,1.07188,BMW official MSRP anchors + simulated monthly market variation
2024-05-01,1 Series,42468.37,39920.26,47564.57,1.07515,BMW official MSRP anchors + simulated monthly market variation
2024-06-01,1 Series,41792.06,39284.53,46807.11,1.05803,BMW official MSRP anchors + simulated monthly market variation
2024-07-01,1 Series,42648.22,40089.33,47766.01,1.0797,BMW official MSRP anchors + simulated monthly market variation
2024-08-01,1 Series,42228.81,39695.08,47296.27,1.06908,BMW official MSRP anchors + simulated monthly market variation
2024-09-01,1 Series,42071.98,39547.66,47120.61,1.06511,BMW official MSRP anchors + simulated monthly market variation
2024-10-01,1 Series,42865.23,40293.31,48009.06,1.0852,BMW official MSRP anchors + simulated monthly market variation
2024-11-01,1 Series,42569.75,40015.56,47678.12,1.07772,BMW official MSRP anchors + simulated monthly market variation
2024-12-01,1 Series,43010.41,40429.78,48171.66,1.08887,BMW official MSRP anchors + simulated monthly market variation
2025-01-01,1 Series,44084.79,41439.71,49374.97,1.08184,BMW official MSRP anchors + simulated monthly market variation
2025-02-01,1 Series,44459.74,41792.16,49794.91,1.09104,BMW official MSRP anchors + simulated monthly market variation
2025-03-01,1 Series,43770.69,41144.45,49023.18,1.07413,BMW official MSRP anchors + simulated monthly market variation
2025-04-01,1 Series,44836.12,42145.96,50216.46,1.10027,BMW official MSRP anchors + simulated monthly market variation
2025-05-01,1 Series,43878.59,41245.87,49144.02,1.07678,BMW official MSRP anchors + simulated monthly market variation
2025-06-01,1 Series,44336.81,41676.6,49657.23,1.08802,BMW official MSRP anchors + simulated monthly market variation
2025-07-01,1 Series,44061.52,41417.83,49348.9,1.08126,BMW official MSRP anchors + simulated monthly market variation
2025-08-01,1 Series,43667.98,41047.9,48908.14,1.07161,BMW official MSRP anchors + simulated monthly market variation
2025-09-01,1 Series,43813.38,41184.58,49070.99,1.07518,BMW official MSRP anchors + simulated monthly market variation
2025-10-01,1 Series,44266.24,41610.27,49578.19,1.08629,BMW official MSRP anchors + simulated monthly market variation
2025-11-01,1 Series,43881.79,41248.89,49147.61,1.07685,BMW official MSRP anchors + simulated monthly market variation
2025-12-01,1 Series,44105.27,41458.96,49397.91,1.08234,BMW official MSRP anchors + simulated monthly market variation
2026-01-01,1 Series,45622.14,42884.81,51096.8,1.08624,BMW official MSRP anchors + simulated monthly market variation
2026-02-01,1 Series,46024.08,43262.64,51546.97,1.09581,BMW official MSRP anchors + simulated monthly market variation
2026-03-01,1 Series,45549.37,42816.41,51015.3,1.08451,BMW official MSRP anchors + simulated monthly market variation
2026-04-01,1 Series,45710.35,42967.73,51195.59,1.08834,BMW official MSRP anchors + simulated monthly market variation
2026-05-01,1 Series,46438.52,43652.21,52011.14,1.10568,BMW official MSRP anchors + simulated monthly market variation
2026-06-01,1 Series,45678.03,42937.35,51159.39,1.08757,BMW official MSRP anchors + simulated monthly market variation
2026-07-01,1 Series,45914.0,43159.16,51423.68,1.09319,BMW official MSRP anchors + simulated monthly market variation
2015-01-01,3 Series,38286.55,35989.35,42880.93,0.99575,BMW official MSRP anchors + simulated monthly market variation
2015-02-01,3 Series,38285.17,35988.06,42879.39,0.99571,BMW official MSRP anchors + simulated monthly market variation
2015-03-01,3 Series,38774.17,36447.72,43427.07,1.00843,BMW official MSRP anchors + simulated monthly market variation
2015-04-01,3 Series,38608.98,36292.44,43242.06,1.00413,BMW official MSRP anchors + simulated monthly market variation
2015-05-01,3 Series,38430.37,36124.55,43042.01,0.99949,BMW official MSRP anchors + simulated monthly market variation
2015-06-01,3 Series,37659.02,35399.48,42178.1,0.97943,BMW official MSRP anchors + simulated monthly market variation
2015-07-01,3 Series,38138.16,35849.87,42714.74,0.99189,BMW official MSRP anchors + simulated monthly market variation
2015-08-01,3 Series,38844.57,36513.89,43505.92,1.01026,BMW official MSRP anchors + simulated monthly market variation
2015-09-01,3 Series,38130.14,35842.33,42705.76,0.99168,BMW official MSRP anchors + simulated monthly market variation
2015-10-01,3 Series,38252.87,35957.7,42843.22,0.99487,BMW official MSRP anchors + simulated monthly market variation
2015-11-01,3 Series,38427.03,36121.41,43038.27,0.9994,BMW official MSRP anchors + simulated monthly market variation
2015-12-01,3 Series,38398.04,36094.15,43005.8,0.99865,BMW official MSRP anchors + simulated monthly market variation
2016-01-01,3 Series,39058.48,36714.97,43745.5,1.00382,BMW official MSRP anchors + simulated monthly market variation
2016-02-01,3 Series,39836.96,37446.74,44617.4,1.02382,BMW official MSRP anchors + simulated monthly market variation
2016-03-01,3 Series,39531.64,37159.75,44275.44,1.01598,BMW official MSRP anchors + simulated monthly market variation
2016-04-01,3 Series,39368.98,37006.84,44093.26,1.0118,BMW official MSRP anchors + simulated monthly market variation
2016-05-01,3 Series,38842.32,36511.78,43503.39,0.99826,BMW official MSRP anchors + simulated monthly market variation
2016-06-01,3 Series,39199.5,36847.53,43903.44,1.00744,BMW official MSRP anchors + simulated monthly market variation
2016-07-01,3 Series,38816.69,36487.68,43474.69,0.9976,BMW official MSRP anchors + simulated monthly market variation
2016-08-01,3 Series,39686.66,37305.46,44449.06,1.01996,BMW official MSRP anchors + simulated monthly market variation
2016-09-01,3 Series,39649.26,37270.3,44407.17,1.019,BMW official MSRP anchors + simulated monthly market variation
2016-10-01,3 Series,39343.69,36983.07,44064.93,1.01115,BMW official MSRP anchors + simulated monthly market variation
2016-11-01,3 Series,39335.76,36975.62,44056.06,1.01094,BMW official MSRP anchors + simulated monthly market variation
2016-12-01,3 Series,39882.67,37489.71,44668.59,1.025,BMW official MSRP anchors + simulated monthly market variation
2017-01-01,3 Series,39500.37,37130.35,44240.41,1.00331,BMW official MSRP anchors + simulated monthly market variation
2017-02-01,3 Series,39640.21,37261.8,44397.04,1.00686,BMW official MSRP anchors + simulated monthly market variation
2017-03-01,3 Series,40280.81,37863.96,45114.51,1.02313,BMW official MSRP anchors + simulated monthly market variation
2017-04-01,3 Series,40532.98,38101.0,45396.94,1.02954,BMW official MSRP anchors + simulated monthly market variation
2017-05-01,3 Series,40314.41,37895.55,45152.14,1.02399,BMW official MSRP anchors + simulated monthly market variation
2017-06-01,3 Series,39974.57,37576.09,44771.51,1.01536,BMW official MSRP anchors + simulated monthly market variation
2017-07-01,3 Series,39771.04,37384.78,44543.57,1.01019,BMW official MSRP anchors + simulated monthly market variation
2017-08-01,3 Series,40079.15,37674.4,44888.65,1.01801,BMW official MSRP anchors + simulated monthly market variation
2017-09-01,3 Series,39698.58,37316.67,44462.41,1.00835,BMW official MSRP anchors + simulated monthly market variation
2017-10-01,3 Series,40031.74,37629.84,44835.55,1.01681,BMW official MSRP anchors + simulated monthly market variation
2017-11-01,3 Series,39862.83,37471.06,44646.37,1.01252,BMW official MSRP anchors + simulated monthly market variation
2017-12-01,3 Series,40467.6,38039.55,45323.71,1.02788,BMW official MSRP anchors + simulated monthly market variation
2018-01-01,3 Series,40837.7,38387.43,45738.22,1.0253,BMW official MSRP anchors + simulated monthly market variation
2018-02-01,3 Series,40681.3,38240.43,45563.06,1.02137,BMW official MSRP anchors + simulated monthly market variation
2018-03-01,3 Series,40520.47,38089.24,45382.93,1.01734,BMW official MSRP anchors + simulated monthly market variation
2018-04-01,3 Series,41301.27,38823.2,46257.43,1.03694,BMW official MSRP anchors + simulated monthly market variation
2018-05-01,3 Series,41085.82,38620.67,46016.11,1.03153,BMW official MSRP anchors + simulated monthly market variation
2018-06-01,3 Series,40644.95,38206.26,45522.35,1.02046,BMW official MSRP anchors + simulated monthly market variation
2018-07-01,3 Series,40364.19,37942.34,45207.9,1.01341,BMW official MSRP anchors + simulated monthly market variation
2018-08-01,3 Series,41037.61,38575.35,45962.12,1.03032,BMW official MSRP anchors + simulated monthly market variation
2018-09-01,3 Series,41186.14,38714.97,46128.47,1.03405,BMW official MSRP anchors + simulated monthly market variation
2018-10-01,3 Series,40907.75,38453.28,45816.68,1.02706,BMW official MSRP anchors + simulated monthly market variation
2018-11-01,3 Series,40290.26,37872.85,45125.1,1.01156,BMW official MSRP anchors + simulated monthly market variation
2018-12-01,3 Series,40903.58,38449.37,45812.01,1.02695,BMW official MSRP anchors + simulated monthly market variation
2019-01-01,3 Series,41596.67,39100.87,46588.27,1.03243,BMW official MSRP anchors + simulated monthly market variation
2019-02-01,3 Series,41783.84,39276.81,46797.9,1.03708,BMW official MSRP anchors + simulated monthly market variation
2019-03-01,3 Series,41677.72,39177.06,46679.05,1.03444,BMW official MSRP anchors + simulated monthly market variation
2019-04-01,3 Series,41105.54,38639.21,46038.21,1.02024,BMW official MSRP anchors + simulated monthly market variation
2019-05-01,3 Series,41587.26,39092.02,46577.73,1.0322,BMW official MSRP anchors + simulated monthly market variation
2019-06-01,3 Series,41715.99,39213.03,46721.9,1.03539,BMW official MSRP anchors + simulated monthly market variation
2019-07-01,3 Series,41314.74,38835.86,46272.51,1.02543,BMW official MSRP anchors + simulated monthly market variation
2019-08-01,3 Series,41742.75,39238.19,46751.88,1.03606,BMW official MSRP anchors + simulated monthly market variation
2019-09-01,3 Series,41953.75,39436.52,46988.2,1.04129,BMW official MSRP anchors + simulated monthly market variation
2019-10-01,3 Series,41487.15,38997.92,46465.61,1.02971,BMW official MSRP anchors + simulated monthly market variation
2019-11-01,3 Series,41560.74,39067.1,46548.03,1.03154,BMW official MSRP anchors + simulated monthly market variation
2019-12-01,3 Series,41587.19,39091.96,46577.65,1.0322,BMW official MSRP anchors + simulated monthly market variation
2020-01-01,3 Series,43377.46,40774.81,48582.75,1.06448,BMW official MSRP anchors + simulated monthly market variation
2020-02-01,3 Series,42801.85,40233.74,47938.07,1.05035,BMW official MSRP anchors + simulated monthly market variation
2020-03-01,3 Series,42649.92,40090.92,47767.91,1.04662,BMW official MSRP anchors + simulated monthly market variation
2020-04-01,3 Series,42463.86,39916.03,47559.53,1.04206,BMW official MSRP anchors + simulated monthly market variation
2020-05-01,3 Series,42672.29,40111.96,47792.97,1.04717,BMW official MSRP anchors + simulated monthly market variation
2020-06-01,3 Series,42737.09,40172.87,47865.55,1.04876,BMW official MSRP anchors + simulated monthly market variation
2020-07-01,3 Series,42492.76,39943.19,47591.89,1.04277,BMW official MSRP anchors + simulated monthly market variation
2020-08-01,3 Series,43084.11,40499.07,48254.21,1.05728,BMW official MSRP anchors + simulated monthly market variation
2020-09-01,3 Series,42192.07,39660.54,47255.12,1.03539,BMW official MSRP anchors + simulated monthly market variation
2020-10-01,3 Series,43437.59,40831.33,48650.1,1.06595,BMW official MSRP anchors + simulated monthly market variation
2020-11-01,3 Series,42499.99,39949.99,47599.98,1.04294,BMW official MSRP anchors + simulated monthly market variation
2020-12-01,3 Series,42701.29,40139.21,47825.45,1.04788,BMW official MSRP anchors + simulated monthly market variation
2021-01-01,3 Series,45743.02,42998.44,51232.18,1.0902,BMW official MSRP anchors + simulated monthly market variation
2021-02-01,3 Series,45849.99,43098.99,51351.99,1.09275,BMW official MSRP anchors + simulated monthly market variation
2021-03-01,3 Series,45302.31,42584.17,50738.59,1.0797,BMW official MSRP anchors + simulated monthly market variation
2021-04-01,3 Series,45987.54,43228.29,51506.04,1.09603,BMW official MSRP anchors + simulated monthly market variation
2021-05-01,3 Series,45137.03,42428.81,50553.47,1.07576,BMW official MSRP anchors + simulated monthly market variation
2021-06-01,3 Series,45513.43,42782.63,50975.05,1.08473,BMW official MSRP anchors + simulated monthly market variation
2021-07-01,3 Series,45543.71,42811.09,51008.95,1.08545,BMW official MSRP anchors + simulated monthly market variation
2021-08-01,3 Series,45656.96,42917.54,51135.79,1.08815,BMW official MSRP anchors + simulated monthly market variation
2021-09-01,3 Series,45526.41,42794.82,50989.58,1.08504,BMW official MSRP anchors + simulated monthly market variation
2021-10-01,3 Series,45012.27,42311.54,50413.75,1.07279,BMW official MSRP anchors + simulated monthly market variation
2021-11-01,3 Series,46011.04,43250.38,51532.37,1.09659,BMW official MSRP anchors + simulated monthly market variation
2021-12-01,3 Series,45893.37,43139.77,51400.58,1.09378,BMW official MSRP anchors + simulated monthly market variation
2022-01-01,3 Series,46770.29,43964.07,52382.72,1.08348,BMW official MSRP anchors + simulated monthly market variation
2022-02-01,3 Series,46522.51,43731.16,52105.21,1.07774,BMW official MSRP anchors + simulated monthly market variation
2022-03-01,3 Series,47163.64,44333.82,52823.28,1.09259,BMW official MSRP anchors + simulated monthly market variation
2022-04-01,3 Series,46493.64,43704.02,52072.88,1.07707,BMW official MSRP anchors + simulated monthly market variation
2022-05-01,3 Series,47012.97,44192.19,52654.53,1.0891,BMW official MSRP anchors + simulated monthly market variation
2022-06-01,3 Series,46996.97,44177.15,52636.6,1.08873,BMW official MSRP anchors + simulated monthly market variation
2022-07-01,3 Series,47856.94,44985.53,53599.78,1.10866,BMW official MSRP anchors + simulated monthly market variation
2022-08-01,3 Series,47151.74,44322.64,52809.95,1.09232,BMW official MSRP anchors + simulated monthly market variation
2022-09-01,3 Series,46238.33,43464.03,51786.93,1.07116,BMW official MSRP anchors + simulated monthly market variation
2022-10-01,3 Series,46933.46,44117.45,52565.47,1.08726,BMW official MSRP anchors + simulated monthly market variation
2022-11-01,3 Series,46567.27,43773.24,52155.34,1.07878,BMW official MSRP anchors + simulated monthly market variation
2022-12-01,3 Series,46339.76,43559.37,51900.53,1.07351,BMW official MSRP anchors + simulated monthly market variation
2023-01-01,3 Series,47129.56,44301.79,52785.11,1.06207,BMW official MSRP anchors + simulated monthly market variation
2023-02-01,3 Series,47188.9,44357.57,52851.57,1.06341,BMW official MSRP anchors + simulated monthly market variation
2023-03-01,3 Series,47335.08,44494.97,53015.29,1.06671,BMW official MSRP anchors + simulated monthly market variation
2023-04-01,3 Series,47346.09,44505.33,53027.62,1.06695,BMW official MSRP anchors + simulated monthly market variation
2023-05-01,3 Series,47327.28,44487.65,53006.56,1.06653,BMW official MSRP anchors + simulated monthly market variation
2023-06-01,3 Series,47133.5,44305.49,52789.52,1.06216,BMW official MSRP anchors + simulated monthly market variation
2023-07-01,3 Series,47262.45,44426.71,52933.95,1.06507,BMW official MSRP anchors + simulated monthly market variation
2023-08-01,3 Series,47293.83,44456.2,52969.09,1.06578,BMW official MSRP anchors + simulated monthly market variation
2023-09-01,3 Series,46836.19,44026.02,52456.53,1.05546,BMW official MSRP anchors + simulated monthly market variation
2023-10-01,3 Series,47575.51,44720.98,53284.57,1.07212,BMW official MSRP anchors + simulated monthly market variation
2023-11-01,3 Series,47217.07,44384.05,52883.12,1.06405,BMW official MSRP anchors + simulated monthly market variation
2023-12-01,3 Series,47329.01,44489.27,53008.49,1.06657,BMW official MSRP anchors + simulated monthly market variation
2024-01-01,3 Series,49068.72,46124.6,54956.97,1.07646,BMW official MSRP anchors + simulated monthly market variation
2024-02-01,3 Series,48578.86,45664.13,54408.32,1.06572,BMW official MSRP anchors + simulated monthly market variation
2024-03-01,3 Series,48956.33,46018.95,54831.09,1.074,BMW official MSRP anchors + simulated monthly market variation
2024-04-01,3 Series,49326.35,46366.77,55245.51,1.08211,BMW official MSRP anchors + simulated monthly market variation
2024-05-01,3 Series,48199.21,45307.26,53983.12,1.05739,BMW official MSRP anchors + simulated monthly market variation
2024-06-01,3 Series,48676.12,45755.55,54517.25,1.06785,BMW official MSRP anchors + simulated monthly market variation
2024-07-01,3 Series,49201.34,46249.26,55105.5,1.07937,BMW official MSRP anchors + simulated monthly market variation
2024-08-01,3 Series,48977.58,46038.93,54854.89,1.07446,BMW official MSRP anchors + simulated monthly market variation
2024-09-01,3 Series,49363.35,46401.55,55286.95,1.08293,BMW official MSRP anchors + simulated monthly market variation
